Date,Flow_cfs
4/1/2013,8930
4/2/2013,8130
4/3/2013,7870
4/4/2013,7790
4/5/2013,9540
4/6/2013,9680
4/7/2013,9440
4/8/2013,8980
4/9/2013,8740
4/10/2013,8480
4/11/2013,8320
4/12/2013,8240
4/13/2013,7830
4/14/2013,7290
4/15/2013,7100
4/16/2013,6880
4/17/2013,6670
4/18/2013,6880
4/19/2013,7450
4/20/2013,7750
4/21/2013,7940
4/22/2013,8160
4/23/2013,8910
4/24/2013,9610
4/25/2013,10600
4/26/2013,11100
4/27/2013,11200
4/28/2013,11300
4/29/2013,11300
4/30/2013,11200
5/1/2013,11200
5/2/2013,11200
5/3/2013,11200
5/4/2013,11200
5/5/2013,11200
5/6/2013,11300
5/7/2013,11900
5/8/2013,12200
5/9/2013,12100
5/10/2013,12100
5/11/2013,12100
5/12/2013,12100
5/13/2013,12200
5/14/2013,12000
5/15/2013,11900
5/16/2013,12100
5/17/2013,12000
5/18/2013,12000
5/19/2013,11900
5/20/2013,11900
5/21/2013,12700
5/22/2013,12900
5/23/2013,13000
5/24/2013,13000
5/25/2013,12900
5/26/2013,12600
5/27/2013,12700
5/28/2013,12900
5/29/2013,12800
5/30/2013,12300
5/31/2013,12100
6/1/2013,12000
6/2/2013,11900
6/3/2013,11900
6/4/2013,11900
6/5/2013,11900
6/6/2013,12900
6/7/2013,13900
6/8/2013,13900
6/9/2013,13800
6/10/2013,13800
6/11/2013,13900
6/12/2013,13800
6/13/2013,13800
6/14/2013,13900
6/15/2013,14100
6/16/2013,14300
6/17/2013,14400
6/18/2013,13300
6/19/2013,14100
6/20/2013,13900
6/21/2013,13900
6/22/2013,13800
6/23/2013,13900
6/24/2013,13900
6/25/2013,15000
6/26/2013,16000
6/27/2013,15600
6/28/2013,15200
6/29/2013,15100
6/30/2013,15100
